saccver,sname,staxonomy,sstrain,typestrain
NR_181970.1,Mycoplasma phocoenae,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1470,C264-GEN,True
NR_181969.1,Polynucleobacter hirudinilacicola,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter,MWH-EgelM1-30-B4,True
NR_181968.1,Mycoplasma miroungigenitalium,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1465,ES2806-GEN,True
NR_181967.1,Holospora caryophila,Bacteria; Pseudomonadota; Alphaproteobacteria; Holosporales; Holosporaceae; Holospora,562alpha,True
NR_181966.1,Mycoplasma anserisalpingitidis,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1476,1220,True
NR_181965.1,Acholeplasma equirhinis,Bacteria; Mycoplasmatota; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma,N93,True
NR_181964.1,Desulfosudis oleivorans,Bacteria; Thermodesulfobacteriota; Desulfobacteria; Desulfobacterales; Desulfosudaceae; Desulfosudis,Hxd3,True
NR_181963.1,Dehalobacterium formicoaceticum,Bacteria; Bacillota; Clostridia; Eubacteriales; Peptococcaceae; Dehalobacterium,DMC,True
NR_181962.1,Borrelia garinii,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Borreliaceae; Borreliella,PBi,True
NR_181961.1,Mesomycoplasma ovipneumoniae,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mesomycoplasma,Y98,True
NR_181960.1,Snodgrassella gandavensis,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Snodgrassella,LMG 30236,True
NR_181959.1,Snodgrassella communis,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Snodgrassella,LMG 28360,True
NR_181958.1,Xanthomonas hydrangeae,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas,LMG 31884,True
NR_181957.1,Streptomyces broussonetiae,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,T44,True
NR_181956.1,Streptomyces phaeolivaceus,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,GY16,True
NR_181955.1,Paenalcaligenes niemegkensis,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Paenalcaligenes,NGK35,True
NR_181954.1,Vibrio tetraodonis,Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio,A511,True
NR_181953.1,Asticcacaulis tiandongensis,Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Asticcacaulis,3.1105,True
NR_181952.1,Bacillus stercoris,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus. REFERENCE   1  (bases 1 to 1455,D7XPN1,True
NR_181951.1,Thiothrix subterranea,Bacteria; Pseudomonadota; Gammaproteobacteria; Thiotrichales; Thiotrichaceae; Thiothrix,Ku-5,True
NR_181950.1,Entomospira nematocera,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Entomospira,BR208,True
NR_181949.1,Entomospira entomophilus,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Entomospira,BR193,True
NR_181948.1,Entomospira culicis,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Entomospira,BR151,True
NR_181947.1,Gordonia pseudamarae,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Gordoniaceae; Gordonia,CON9,True
NR_181946.1,Aggregatibacter kilianii,Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter,PN_528,True
NR_181945.1,Metabacillus flavus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus,KIGAM252,True
NR_181944.1,Metabacillus flavus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus,KIGAM252,True
NR_181943.1,Metabacillus flavus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus,KIGAM252,True
NR_181942.1,Metabacillus flavus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus,KIGAM252,True
NR_181941.1,Metabacillus flavus,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Metabacillus,KIGAM252,True
NR_181940.1,Rhodobacter calidifons,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Rhodobacter,M37P,True
NR_181939.1,Apilactobacillus xinyiensis,Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Apilactobacillus,F575-4,True
NR_181938.1,Nocardioides alcanivorans,Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides,NGK65,True
NR_181937.1,Erysipelothrix urinaevulpis,Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix,165301687,True
NR_181936.1,Erysipelothrix anatis,Bacteria; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix,D17_0559-3-2-1,True
NR_181935.1,Streptococcus oriscaviae,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,HKU75,True
NR_181934.1,Rahnella aceris,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Rahnella,SAP-19,True
NR_181933.1,Wielerella bovis,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Wielerella,CCUG 44465,True
NR_181932.1,Kordiimonas laminariae,Bacteria; Pseudomonadota; Alphaproteobacteria; Kordiimonadales; Kordiimonadaceae; Kordiimonas,5E331,True
NR_181931.1,Streptomyces sennicomposti,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,RCPT1-4,True
NR_181930.1,Acinetobacter silvestris,Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter,ANC 4999,True
NR_181929.1,Olsenella intestinalis,Bacteria; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Olsenella,BGYT1,True
NR_181928.1,Xanthomonas bonasiae,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas,FX4,True
NR_181927.1,Chryseobacterium faecale,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group; Chryseobacterium,F4,True
NR_181926.1,Bacillus rhizoplanae,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus. REFERENCE   1  (bases 1 to 1454,JJ-63,True
NR_181925.1,Clostridium hydrogenum,Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,CUEA01,True
NR_181924.1,Pseudomonas oligotrophica,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,JM10B5a,True
NR_181923.1,Luteimonas fraxinea,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Luteimonas,D4P002,True
NR_181922.1,Rhodocyclus gracilis,Bacteria; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Rhodocyclus,DSM 110,True
NR_181920.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181919.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181918.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181917.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181916.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181915.1,Halopseudomonas gallaeciensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Halopseudomonas,V113,True
NR_181914.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181913.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181912.1,Helicobacter kayseriensis,Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter,faydin-H23,True
NR_181911.1,Helicobacter anatolicus,Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter,faydin-H8,True
NR_181910.1,Halopseudomonas gallaeciensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Halopseudomonas,V113,True
NR_181909.1,Alteromonas gracilis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,9a2,True
NR_181908.1,Alteromonas portus,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,HB161718,True
NR_181907.1,Alteromonas abrolhosensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas/Salinimonas group; Alteromonas,PEL67E,True
NR_181906.1,Streptomyces huasconensis,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,HST28,True
NR_181905.1,Adhaeribacter pallidiroseus,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Adhaeribacter,HMF7616,True
NR_181904.1,Paracoccus gahaiensis,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Paracoccus,CUG 00006,True
NR_181903.1,Arthrobacter nitrophenolicus,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Arthrobacter,SJCon,True
NR_181902.1,Sinomicrobium kalidii,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Sinomicrobium,HD2P242,True
NR_181901.1,Klebsiella quasivariicola,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella,KPN1705,True
NR_181900.1,Chromobacterium sinusclupearum,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium,MWU13-2610,True
NR_181899.1,Chromobacterium alticapitis,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Chromobacterium,MWU14-2602,True
NR_181898.1,Pseudophaeobacter flagellatus,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Pseudophaeobacter,MA21411-1,True
NR_181897.1,Ruania suaedae,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Ruaniaceae; Ruania,LR1S40,True
NR_181896.1,Ruania halotolerans,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Ruaniaceae; Ruania,M4N3S171,True
NR_181895.1,Rhabdothermincola salaria,Bacteria; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Iamiaceae; Rhabdothermincola,EGI L10124,True
NR_181894.1,Kitasatospora humi,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Kitasatospora,RB6PN24,True
NR_181893.1,Pedobacter mucosus,Bacteria; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter,Q8-18,True
NR_181892.1,Staphylococcus ratti,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,CCM 9025,True
NR_181891.1,Pseudomonas soyae,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,JL117,True
NR_181890.1,Pseudomonas zeiradicis,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,PI116,True
NR_181889.1,Robertkochia sediminum,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Robertkochia,1368,True
NR_181888.1,Furfurilactobacillus milii,Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Furfurilactobacillus,FUA3430,True
NR_181887.1,Streptomyces pinistramenti,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,SF28,True
NR_181886.1,Chryseobacterium faecale,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group; Chryseobacterium,F4,True
NR_181885.1,Hominisplanchenecus faecis,Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Hominisplanchenecus,CLA-AA-H246,True
NR_181884.1,Thalassolituus alkanivorans,Bacteria; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Thalassolituus,TMPB967,True
NR_181883.1,Methylophaga pinxianii,Bacteria; Pseudomonadota; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga,TMB456,True
NR_181882.1,Microvirga lenta,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Methylobacteriaceae; Microvirga,SM9,True
NR_181881.1,Anaerostipes faecis,Bacteria; Bacillota; Clostridia; Eubacteriales; Lachnospiraceae; Anaerostipes,A14,True
NR_181880.1,Sangeribacter muris,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Sangeribacter,A43,True
NR_181879.1,Duncaniella muricolitica,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Duncaniella,A60,True
NR_181878.1,Alistipes okayasuensis,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,A61,True
NR_181877.1,Nonomuraea aurantiaca,Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Nonomuraea,NEAU-L178,True
NR_181876.1,Macrococcus armenti,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Macrococcus,JEK37,True
NR_181875.1,Pseudomonas uvaldensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,20TX0172,True
NR_181874.1,Curtobacterium allii,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Curtobacterium,20TX0166,True
NR_181873.1,Pseudoneobacillus rhizosphaerae,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Pseudoneobacillus,JJ-79,True
NR_181872.1,Leclercia pneumoniae,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Leclercia,49125,True
NR_181871.1,Rhodococcus yananensis,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Rhodococcus,FBM22-1,True
NR_181870.1,Celeribacter litoreus,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Roseobacteraceae; Celeribacter,ASW11-22,True
NR_181869.1,Mycoplasma miroungirhinis,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1520,ES2806-NAS,True
NR_181868.1,Thermus brevis,Bacteria; Deinococcota; Deinococci; Thermales; Thermaceae; Thermus. REFERENCE   1  (bases 1 to 1479,SYSU G05001,True
NR_181867.1,Saccharobesus litoralis,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Saccharobesus,CCB-QB4,True
NR_181866.1,Deefgea salmonis,Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Deefgea,H3-26,True
NR_181865.1,Mycoplasma tauri,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1422,Zaradi2,True
NR_181864.1,Symbiopectobacterium purcellii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae,SyEd1,True
NR_181863.1,Mycetocola spongiae,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Mycetocola,MSC19,True
NR_181862.1,Polynucleobacter sphagniphilus,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter,MWH-Weng1-1,True
NR_181861.1,Erythrobacter alti,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Erythrobacter/Porphyrobacter group,KMU-34,True
NR_181860.1,Bacillus aequororis,Bacteria; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus. REFERENCE   1  (bases 1 to 950,M-8,True
NR_181859.1,Algoriphagus sanaruensis,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; Algoriphagus,M8-2,True
NR_181857.1,Pseudomonas arcuscaelestis,Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,P66,True
NR_181856.1,Paraburkholderia gardini,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia,LMG 32171,True
NR_181855.1,Paraburkholderia saeva,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia,LMG 31841,True
NR_181854.1,Paenibacillus caui,Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus,81-11,True
NR_181853.1,Arachidicoccus terrestris,Bacteria; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Arachidicoccus,5GH13-10,True
NR_181852.1,Salegentibacter tibetensis,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Salegentibacter,JZCK2,True
NR_181851.1,Salegentibacter lacus,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Salegentibacter,LM13S,True
NR_181850.1,Streptomyces parmotrematis,Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces,Ptm05,True
NR_181849.1,Thermomonas beijingensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Thermomonas,RSS-23,True
